,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
25677,2022-12-27 17:21:32+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25678,2022-12-27 17:21:32+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
25679,2022-12-27 17:21:32+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
25680,2022-12-27 17:21:32+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25681,2022-12-27 17:21:42+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25682,2022-12-27 17:21:42+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25683,2022-12-27 17:21:42+00:00,435164161,EngineFwVersion,,,01,OXE300
25684,2022-12-27 17:21:42+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25685,2022-12-27 17:21:43+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25686,2022-12-27 17:21:43+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25687,2022-12-27 17:21:43+00:00,435164161,EngineFwVersion,,,01,OXE300
25688,2022-12-27 17:21:43+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25693,2022-12-27 17:21:44+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25694,2022-12-27 17:21:44+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25695,2022-12-27 17:21:44+00:00,435164161,EngineFwVersion,,,01,OXE300
25696,2022-12-27 17:21:44+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25701,2022-12-27 17:21:45+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25702,2022-12-27 17:21:45+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25703,2022-12-27 17:21:45+00:00,435164161,EngineFwVersion,,,01,OXE300
25704,2022-12-27 17:21:45+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25705,2022-12-27 17:21:45+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25706,2022-12-27 17:21:45+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25707,2022-12-27 17:21:45+00:00,435164161,EngineFwVersion,,,01,OXE300
25708,2022-12-27 17:21:45+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25709,2022-12-27 17:21:45+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25710,2022-12-27 17:21:45+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25711,2022-12-27 17:21:45+00:00,435164161,EngineFwVersion,,,01,OXE300
25712,2022-12-27 17:21:45+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25713,2022-12-27 17:21:46+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25714,2022-12-27 17:21:46+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25715,2022-12-27 17:21:46+00:00,435164161,EngineFwVersion,,,01,OXE300
25716,2022-12-27 17:21:46+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25717,2022-12-27 17:21:46+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25718,2022-12-27 17:21:46+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25719,2022-12-27 17:21:46+00:00,435164161,EngineFwVersion,,,01,OXE300
25720,2022-12-27 17:21:46+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25721,2022-12-27 17:21:47+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25722,2022-12-27 17:21:47+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25723,2022-12-27 17:21:47+00:00,435164161,EngineFwVersion,,,01,OXE300
25724,2022-12-27 17:21:47+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25725,2022-12-27 17:21:47+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25726,2022-12-27 17:21:47+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25727,2022-12-27 17:21:47+00:00,435164161,EngineFwVersion,,,01,OXE300
25728,2022-12-27 17:21:47+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25729,2022-12-27 17:21:48+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25730,2022-12-27 17:21:48+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25731,2022-12-27 17:21:48+00:00,435164161,EngineFwVersion,,,01,OXE300
25732,2022-12-27 17:21:48+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25733,2022-12-27 17:21:48+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25734,2022-12-27 17:21:48+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25735,2022-12-27 17:21:48+00:00,435164161,EngineFwVersion,,,01,OXE300
25736,2022-12-27 17:21:48+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25737,2022-12-27 17:21:49+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25738,2022-12-27 17:21:49+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25739,2022-12-27 17:21:49+00:00,435164161,EngineFwVersion,,,01,OXE300
25740,2022-12-27 17:21:49+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25741,2022-12-27 17:21:49+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25742,2022-12-27 17:21:49+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25743,2022-12-27 17:21:49+00:00,435164161,EngineFwVersion,,,01,OXE300
25744,2022-12-27 17:21:49+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25745,2022-12-27 17:22:02+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25746,2022-12-27 17:22:02+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
25747,2022-12-27 17:22:02+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
25748,2022-12-27 17:22:02+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25765,2022-12-27 17:22:59+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25766,2022-12-27 17:22:59+00:00,435164161,EngineSwVersion,SWFL-,SWFL-,01,OXE300
25767,2022-12-27 17:22:59+00:00,435164161,EngineFwVersion,,,01,OXE300
25768,2022-12-27 17:22:59+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25773,2022-12-27 17:23:02+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25774,2022-12-27 17:23:02+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
25775,2022-12-27 17:23:02+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
25776,2022-12-27 17:23:02+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
25785,2022-12-27 17:23:32+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
25786,2022-12-27 17:23:32+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
25787,2022-12-27 17:23:32+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
25788,2022-12-27 17:23:32+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
