,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
36888,2022-11-30 16:55:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36889,2022-11-30 16:55:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36890,2022-11-30 16:55:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36891,2022-11-30 16:55:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36904,2022-11-30 16:55:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36905,2022-11-30 16:55:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36906,2022-11-30 16:55:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36907,2022-11-30 16:55:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36916,2022-11-30 16:56:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36917,2022-11-30 16:56:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36918,2022-11-30 16:56:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36919,2022-11-30 16:56:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36924,2022-11-30 16:56:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36925,2022-11-30 16:56:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36926,2022-11-30 16:56:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36927,2022-11-30 16:56:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36940,2022-11-30 16:57:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36941,2022-11-30 16:57:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36942,2022-11-30 16:57:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36943,2022-11-30 16:57:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36952,2022-11-30 16:57:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36953,2022-11-30 16:57:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36954,2022-11-30 16:57:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36955,2022-11-30 16:57:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36956,2022-11-30 16:58:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36957,2022-11-30 16:58:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36958,2022-11-30 16:58:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36959,2022-11-30 16:58:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36976,2022-11-30 16:58:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36977,2022-11-30 16:58:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36978,2022-11-30 16:58:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36979,2022-11-30 16:58:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36988,2022-11-30 16:59:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36989,2022-11-30 16:59:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36990,2022-11-30 16:59:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36991,2022-11-30 16:59:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
