,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
36884,2022-11-30 16:55:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36885,2022-11-30 16:55:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36886,2022-11-30 16:55:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36887,2022-11-30 16:55:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36896,2022-11-30 16:55:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36897,2022-11-30 16:55:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36898,2022-11-30 16:55:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36899,2022-11-30 16:55:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36908,2022-11-30 16:56:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36909,2022-11-30 16:56:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36910,2022-11-30 16:56:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36911,2022-11-30 16:56:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36928,2022-11-30 16:56:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36929,2022-11-30 16:56:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36930,2022-11-30 16:56:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36931,2022-11-30 16:56:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36936,2022-11-30 16:57:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36937,2022-11-30 16:57:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36938,2022-11-30 16:57:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36939,2022-11-30 16:57:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36944,2022-11-30 16:57:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36945,2022-11-30 16:57:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36946,2022-11-30 16:57:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36947,2022-11-30 16:57:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36960,2022-11-30 16:58:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36961,2022-11-30 16:58:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36962,2022-11-30 16:58:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36963,2022-11-30 16:58:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36972,2022-11-30 16:58:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36973,2022-11-30 16:58:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36974,2022-11-30 16:58:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36975,2022-11-30 16:58:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36980,2022-11-30 16:59:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36981,2022-11-30 16:59:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36982,2022-11-30 16:59:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36983,2022-11-30 16:59:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
