,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
36895,2022-11-30 17:00:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36896,2022-11-30 17:00:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36897,2022-11-30 17:00:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36898,2022-11-30 17:00:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36907,2022-11-30 17:00:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36908,2022-11-30 17:00:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36909,2022-11-30 17:00:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36910,2022-11-30 17:00:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36911,2022-11-30 17:01:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36912,2022-11-30 17:01:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36913,2022-11-30 17:01:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36914,2022-11-30 17:01:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36931,2022-11-30 17:01:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36932,2022-11-30 17:01:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36933,2022-11-30 17:01:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36934,2022-11-30 17:01:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36943,2022-11-30 17:02:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36944,2022-11-30 17:02:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36945,2022-11-30 17:02:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36946,2022-11-30 17:02:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36947,2022-11-30 17:02:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36948,2022-11-30 17:02:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36949,2022-11-30 17:02:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36950,2022-11-30 17:02:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36967,2022-11-30 17:03:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36968,2022-11-30 17:03:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36969,2022-11-30 17:03:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36970,2022-11-30 17:03:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36979,2022-11-30 17:03:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36980,2022-11-30 17:03:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36981,2022-11-30 17:03:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36982,2022-11-30 17:03:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36991,2022-11-30 17:04:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36992,2022-11-30 17:04:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36993,2022-11-30 17:04:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36994,2022-11-30 17:04:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
