,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
36891,2022-11-30 17:00:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36892,2022-11-30 17:00:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36893,2022-11-30 17:00:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36894,2022-11-30 17:00:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36903,2022-11-30 17:00:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36904,2022-11-30 17:00:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36905,2022-11-30 17:00:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36906,2022-11-30 17:00:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36919,2022-11-30 17:01:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36920,2022-11-30 17:01:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36921,2022-11-30 17:01:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36922,2022-11-30 17:01:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36927,2022-11-30 17:01:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36928,2022-11-30 17:01:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36929,2022-11-30 17:01:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36930,2022-11-30 17:01:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36935,2022-11-30 17:02:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36936,2022-11-30 17:02:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36937,2022-11-30 17:02:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36938,2022-11-30 17:02:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36951,2022-11-30 17:02:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36952,2022-11-30 17:02:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36953,2022-11-30 17:02:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36954,2022-11-30 17:02:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36959,2022-11-30 17:03:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36960,2022-11-30 17:03:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36961,2022-11-30 17:03:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36962,2022-11-30 17:03:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36971,2022-11-30 17:03:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36972,2022-11-30 17:03:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36973,2022-11-30 17:03:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36974,2022-11-30 17:03:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36987,2022-11-30 17:04:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36988,2022-11-30 17:04:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36989,2022-11-30 17:04:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36990,2022-11-30 17:04:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
