TimeStamp,CAN ID,Signal,Raw Value,Physical Value
2022-11-30 17:00:04.456950+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:00:04.456950+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:00:04.456950+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:00:04.456950+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:00:04.463250+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:00:04.463250+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:00:04.463250+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:00:04.463250+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:00:04.471750+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:00:04.471750+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:00:04.471750+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:00:04.471750+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 17:00:34.459100+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:00:34.459100+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:00:34.459100+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:00:34.459100+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:00:34.464800+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:00:34.464800+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:00:34.464800+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:00:34.464800+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:00:34.474800+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:00:34.474800+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:00:34.474800+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:00:34.474800+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 17:01:04.459850+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:01:04.459850+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:01:04.459850+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:01:04.459850+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 17:01:04.461650+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:01:04.461650+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:01:04.461650+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:01:04.461650+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:01:04.466800+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:01:04.466800+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:01:04.466800+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:01:04.466800+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:01:34.463600+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:01:34.463600+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:01:34.463600+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:01:34.463600+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:01:34.468700+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:01:34.468700+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:01:34.468700+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:01:34.468700+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:01:34.480550+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:01:34.480550+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:01:34.480550+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:01:34.480550+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 17:02:04.460650+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:02:04.460650+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:02:04.460650+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:02:04.460650+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:02:04.465800+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:02:04.465800+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:02:04.465800+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:02:04.465800+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:02:04.477150+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:02:04.477150+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:02:04.477150+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:02:04.477150+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 17:02:34.463200+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:02:34.463200+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:02:34.463200+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:02:34.463200+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 17:02:34.467350+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:02:34.467350+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:02:34.467350+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:02:34.467350+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:02:34.469000+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:02:34.469000+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:02:34.469000+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:02:34.469000+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:03:04.469800+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:03:04.469800+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:03:04.469800+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:03:04.469800+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:03:04.470900+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:03:04.470900+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:03:04.470900+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:03:04.470900+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:03:04.489450+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:03:04.489450+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:03:04.489450+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:03:04.489450+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 17:03:34.462900+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:03:34.462900+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:03:34.462900+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:03:34.462900+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:03:34.463450+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:03:34.463450+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:03:34.463450+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:03:34.463450+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:03:34.482100+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:03:34.482100+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:03:34.482100+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:03:34.482100+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 17:04:04.465050+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 17:04:04.465050+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:04:04.465050+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:04:04.465050+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 17:04:04.466150+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 17:04:04.466150+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 17:04:04.466150+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 17:04:04.466150+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 17:04:04.483050+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 17:04:04.483050+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 17:04:04.483050+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 17:04:04.483050+00:00,435164402,EngineSerialnumber,27,27
