,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
36891,2022-11-30 17:05:05+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36892,2022-11-30 17:05:05+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36893,2022-11-30 17:05:05+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36894,2022-11-30 17:05:05+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36903,2022-11-30 17:05:35+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36904,2022-11-30 17:05:35+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36905,2022-11-30 17:05:35+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36906,2022-11-30 17:05:35+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36915,2022-11-30 17:06:05+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36916,2022-11-30 17:06:05+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36917,2022-11-30 17:06:05+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36918,2022-11-30 17:06:05+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36927,2022-11-30 17:06:35+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36928,2022-11-30 17:06:35+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36929,2022-11-30 17:06:35+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36930,2022-11-30 17:06:35+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36939,2022-11-30 17:07:05+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36940,2022-11-30 17:07:05+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36941,2022-11-30 17:07:05+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36942,2022-11-30 17:07:05+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36951,2022-11-30 17:07:35+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36952,2022-11-30 17:07:35+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36953,2022-11-30 17:07:35+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36954,2022-11-30 17:07:35+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36963,2022-11-30 17:08:05+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36964,2022-11-30 17:08:05+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36965,2022-11-30 17:08:05+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36966,2022-11-30 17:08:05+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36967,2022-11-30 17:08:35+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36968,2022-11-30 17:08:35+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36969,2022-11-30 17:08:35+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36970,2022-11-30 17:08:35+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36987,2022-11-30 17:09:05+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36988,2022-11-30 17:09:05+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36989,2022-11-30 17:09:05+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36990,2022-11-30 17:09:05+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
