,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
36887,2022-11-30 17:05:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36888,2022-11-30 17:05:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36889,2022-11-30 17:05:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36890,2022-11-30 17:05:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36899,2022-11-30 17:05:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36900,2022-11-30 17:05:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36901,2022-11-30 17:05:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36902,2022-11-30 17:05:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36911,2022-11-30 17:06:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36912,2022-11-30 17:06:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36913,2022-11-30 17:06:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36914,2022-11-30 17:06:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36919,2022-11-30 17:06:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36920,2022-11-30 17:06:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36921,2022-11-30 17:06:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36922,2022-11-30 17:06:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36935,2022-11-30 17:07:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36936,2022-11-30 17:07:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36937,2022-11-30 17:07:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36938,2022-11-30 17:07:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36947,2022-11-30 17:07:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36948,2022-11-30 17:07:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36949,2022-11-30 17:07:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36950,2022-11-30 17:07:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36959,2022-11-30 17:08:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36960,2022-11-30 17:08:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36961,2022-11-30 17:08:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36962,2022-11-30 17:08:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36975,2022-11-30 17:08:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36976,2022-11-30 17:08:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36977,2022-11-30 17:08:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36978,2022-11-30 17:08:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36983,2022-11-30 17:09:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36984,2022-11-30 17:09:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36985,2022-11-30 17:09:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36986,2022-11-30 17:09:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
