TimeStamp,CAN ID,Signal,Raw Value,Physical Value
2022-11-30 16:51:04.439350+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 16:51:04.439350+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:51:04.439350+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:51:04.439350+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 16:51:04.439900+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 16:51:04.439900+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:51:04.439900+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:51:04.439900+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 16:51:15.050000+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 16:51:15.050000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:51:15.050000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:51:15.050000+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 16:51:15.050550+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 16:51:15.050550+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:51:15.050550+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:51:15.050550+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 16:51:34.441150+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 16:51:34.441150+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:51:34.441150+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:51:34.441150+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 16:51:34.442850+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 16:51:34.442850+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:51:34.442850+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:51:34.442850+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 16:51:34.461400+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 16:51:34.461400+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 16:51:34.461400+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 16:51:34.461400+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 16:52:04.443000+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 16:52:04.443000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:52:04.443000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:52:04.443000+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 16:52:04.444750+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 16:52:04.444750+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:52:04.444750+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:52:04.444750+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 16:52:04.461650+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 16:52:04.461650+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 16:52:04.461650+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 16:52:04.461650+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 16:52:34.444950+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 16:52:34.444950+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:52:34.444950+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:52:34.444950+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 16:52:34.447850+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 16:52:34.447850+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:52:34.447850+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:52:34.447850+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 16:52:34.462450+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 16:52:34.462450+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 16:52:34.462450+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 16:52:34.462450+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 16:53:04.446900+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 16:53:04.446900+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:53:04.446900+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:53:04.446900+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 16:53:04.449800+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 16:53:04.449800+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:53:04.449800+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:53:04.449800+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 16:53:04.465450+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 16:53:04.465450+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 16:53:04.465450+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 16:53:04.465450+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 16:53:34.447950+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 16:53:34.447950+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 16:53:34.447950+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 16:53:34.447950+00:00,435164402,EngineSerialnumber,27,27
2022-11-30 16:53:34.449150+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 16:53:34.449150+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:53:34.449150+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:53:34.449150+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 16:53:34.452550+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 16:53:34.452550+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:53:34.452550+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:53:34.452550+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 16:54:04.453950+00:00,435164161,EngineModel,OXE300,OXE300
2022-11-30 16:54:04.453950+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:54:04.453950+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:54:04.453950+00:00,435164161,EngineSerialnumber,3000184,3000184
2022-11-30 16:54:04.455100+00:00,435164160,EngineModel,OXE300,OXE300
2022-11-30 16:54:04.455100+00:00,435164160,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000
2022-11-30 16:54:04.455100+00:00,435164160,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132
2022-11-30 16:54:04.455100+00:00,435164160,EngineSerialnumber,3000206,3000206
2022-11-30 16:54:04.477900+00:00,435164402,EngineModel,OXE PV780,OXE PV780
2022-11-30 16:54:04.477900+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019
2022-11-30 16:54:04.477900+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019
2022-11-30 16:54:04.477900+00:00,435164402,EngineSerialnumber,27,27
