,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
36881,2022-11-30 17:10:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36882,2022-11-30 17:10:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36883,2022-11-30 17:10:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36884,2022-11-30 17:10:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36889,2022-11-30 17:10:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36890,2022-11-30 17:10:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36891,2022-11-30 17:10:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36892,2022-11-30 17:10:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36901,2022-11-30 17:11:04.600000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36902,2022-11-30 17:11:04.600000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36903,2022-11-30 17:11:04.600000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36904,2022-11-30 17:11:04.600000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36913,2022-11-30 17:11:34.600000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36914,2022-11-30 17:11:34.600000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36915,2022-11-30 17:11:34.600000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36916,2022-11-30 17:11:34.600000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36925,2022-11-30 17:12:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36926,2022-11-30 17:12:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36927,2022-11-30 17:12:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36928,2022-11-30 17:12:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36937,2022-11-30 17:12:34.600000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36938,2022-11-30 17:12:34.600000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36939,2022-11-30 17:12:34.600000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36940,2022-11-30 17:12:34.600000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36941,2022-11-30 17:13:04.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36942,2022-11-30 17:13:04.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36943,2022-11-30 17:13:04.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36944,2022-11-30 17:13:04.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36961,2022-11-30 17:13:34.500000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36962,2022-11-30 17:13:34.500000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36963,2022-11-30 17:13:34.500000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36964,2022-11-30 17:13:34.500000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
36973,2022-11-30 17:14:04.600000+00:00,435164402,EngineModel,OXE PV780,OXE PV780,f2,OXE PV780
36974,2022-11-30 17:14:04.600000+00:00,435164402,EngineSwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36975,2022-11-30 17:14:04.600000+00:00,435164402,EngineFwVersion,02.09.23019,02.09.23019,f2,OXE PV780
36976,2022-11-30 17:14:04.600000+00:00,435164402,EngineSerialnumber,27,27,f2,OXE PV780
