,TimeStamp,CAN ID,Signal,Raw Value,Physical Value,Signal Source,Engine Model
36897,2022-11-30 17:11:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36898,2022-11-30 17:11:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36899,2022-11-30 17:11:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36900,2022-11-30 17:11:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36909,2022-11-30 17:11:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36910,2022-11-30 17:11:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36911,2022-11-30 17:11:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36912,2022-11-30 17:11:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36917,2022-11-30 17:12:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36918,2022-11-30 17:12:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36919,2022-11-30 17:12:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36920,2022-11-30 17:12:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36929,2022-11-30 17:12:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36930,2022-11-30 17:12:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36931,2022-11-30 17:12:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36932,2022-11-30 17:12:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36945,2022-11-30 17:13:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36946,2022-11-30 17:13:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36947,2022-11-30 17:13:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36948,2022-11-30 17:13:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36957,2022-11-30 17:13:34.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36958,2022-11-30 17:13:34.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36959,2022-11-30 17:13:34.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36960,2022-11-30 17:13:34.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
36969,2022-11-30 17:14:04.500000+00:00,435164161,EngineModel,OXE300,OXE300,01,OXE300
36970,2022-11-30 17:14:04.500000+00:00,435164161,EngineSwVersion,SWFL-000029B8-023.013.000,SWFL-000029B8-023.013.000,01,OXE300
36971,2022-11-30 17:14:04.500000+00:00,435164161,EngineFwVersion,30022124-0050001-22132,30022124-0050001-22132,01,OXE300
36972,2022-11-30 17:14:04.500000+00:00,435164161,EngineSerialnumber,3000184,3000184,01,OXE300
